load,Ss,initial reward ,convergent reward,convergent episodes
,40%,-499558.84,-26793.6,854341
,45%,-499558.84,-25603.023,851981
,50%,-499558.84,-25455.49,799538
,55%,-499558.84,-27764.254,860599
,60%,-499558.84,-22511.479,888279
,65%,-499558.84,-26804.832,828451
,70%,-499558.84,-22699.906,872727
,75%,-499558.84,-25455.49,850913
,80%,-499558.84,-27378.137,842301
,85%,-499558.84,-31077.31,851327
,90%,-499558.84,-22009.777,836372
,95%,-499558.84,-19764.012,842468
